tick,phase,resources,resource_capacity,population,workers,vanguards,rangers,core_hp,core_shield,enemies_visible,HARVEST_SUCCEEDED,HARVEST_FAILED,DEPOSIT_SUCCEEDED,DEPOSIT_FAILED,UNIT_HEAL_SUCCEEDED,CORE_HEAL_SUCCEEDED,UNIT_SELF_DESTRUCTED,UNIT_MOVE_SUCCEEDED,combat_events,intents
38548,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38549,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38550,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38551,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38552,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38553,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38554,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38555,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38556,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38557,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38558,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38559,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38560,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38561,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38562,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38563,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38564,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38565,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38566,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38567,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38568,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38569,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38570,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38571,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38572,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38573,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
38574,early_expansion,2,10,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-
